Name,train_pos,train_neg,test_pos,test_neg,valid_pos,valid_neg
JMJD2,156,87,20,11,20,11
KAT2A,2,16,1,3,1,2
KDM4E,28,36,4,5,4,5
HDAC1,2367,486,296,61,296,61
HDAC6,1518,379,190,48,190,47
HDAC3,822,244,103,31,103,31
HDAC8,808,351,101,44,101,44
HDAC2,784,196,99,25,98,25
LSD1,664,496,83,62,83,62
SIRT2,490,894,62,112,61,112
KDM4C,450,181,57,23,56,23
EZH2,362,124,46,16,45,16
KDM5B,352,14,45,2,44,2
KDM5A,324,141,41,18,41,18
PRMT5,291,37,37,5,36,5
SIRT1,252,866,32,109,32,108
HDAC11,249,99,32,13,31,12
KDM2B,249,8,32,1,31,1
HDAC10,238,93,30,12,30,12
CREBBP,228,113,29,15,28,14
NSD2,200,270,25,34,25,34
HDAC4,186,242,24,31,23,30
HDAC7,161,176,21,23,20,22
HDAC5,157,171,20,22,20,21
NCOA3,132,49,17,7,17,6
HDAC9,129,115,17,15,16,14
PRMT4,127,45,16,6,16,6
SIRT3,126,296,16,38,16,37
P300,105,124,14,16,13,16
KDM5C,104,23,13,3,13,3
DOT1L,85,89,11,12,11,11
PRMT6,76,33,10,5,9,4
KDM4B,70,9,9,2,9,1
SMYD3,68,8,9,1,9,1
KDM2A,60,27,8,4,7,3
PRMT1,56,131,8,17,7,16
PHF8,55,32,7,4,7,4
PRMT3,52,33,7,5,6,4
JMJD3,40,119,6,15,5,15
NCOA1,40,146,6,19,5,18
PCAF,28,32,4,4,3,4
SMYD2,30,10,4,2,4,1
PRMT8,28,10,4,2,3,1
JMJD4,20,37,3,5,2,5
KDM4D,20,16,3,2,2,2
SETD8,10,53,2,7,1,7
SIRT6,7,80,1,10,1,10
SETD7,7,132,1,17,1,16
LSD2,5,29,1,4,1,4
SIRT7,4,2,1,1,1,1
SUV39H1,4,34,1,5,1,4
MYST1,3,50,1,7,1,6
BAZ1A,7,5,1,1,1,1
BAZ2A,28,20,4,3,4,2
BRD8,7,2,1,1,1,1
PBRM1,22,14,3,2,3,2
BRWD1,1,8,1,1,1,1
SMARCA4,21,12,3,2,3,1
DNMT3A,40,63,5,8,5,8
BRD9,144,40,18,5,18,5
BRPF1,144,59,19,8,18,7
TP53BP1,5,64,1,8,1,8
CBX7,60,160,8,21,8,20
BRD2,296,76,37,10,37,9
BRD7,23,11,3,2,3,1
L3MBTL3,68,19,9,3,9,2
L3MBTL1,44,52,6,7,5,7
BRD4,2596,720,325,91,325,90
BRDT,76,30,10,4,9,4
BRPF3,20,14,3,2,2,2
DNMT1,210,181,27,23,26,23
WRD5,260,92,33,12,33,12
BAZ2B,32,62,4,8,4,8
BRD1,60,15,8,2,8,2
SMARCA2,22,183,3,23,3,23
BRD3,293,35,37,5,37,4
DNMT3B,24,32,4,4,3,4
G9a,287,104,36,14,36,13
